vanilla aim at enemy

measurement without profiler: 730 us
profiler overhead: 155 us

self=2.1 (2.1) us, cum=904.2 (904.2) us, calls=1                           src\mod_wot_profiler.py:78 profilerCall()
                              self=4.0 (2.0) us, cum=9.7 (4.9) us, calls=2                               scripts/client/gui/battle_control/arena_visitor.py:517 getConstantsModification()
                                self=3.1 (1.6) us, cum=5.7 (2.8) us, calls=2                               battle_modifiers/scripts/common/battle_modifiers_ext/battle_modifiers.py:437 getConstantsModification()
                                  self=1.9 (0.9) us, cum=2.6 (1.3) us, calls=2                               battle_modifiers/scripts/common/battle_modifiers_ext/modification_cache/constants_modifications.py:52 get()
                                    self=0.7 (0.3) us, cum=0.7 (0.3) us, calls=2                               battle_modifiers/scripts/common/battle_modifiers_ext/battle_modifiers.py:354 __bool__()
                              self=1.5 (0.8) us, cum=3.2 (1.6) us, calls=2                               scripts/client/helpers/dependency.py:97 instance()
                                self=4.7 (1.2) us, cum=6.2 (1.6) us, calls=4                               scripts/client/helpers/dependency.py:171 getService()
                                  self=1.5 (0.4) us, cum=1.5 (0.4) us, calls=4                               scripts/client/helpers/dependency.py:312 value()
                              self=1.7 (0.8) us, cum=1.7 (0.8) us, calls=2                               scripts/client/gui/battle_control/battle_session.py:87 arenaVisitor()
                              self=1.5 (0.8) us, cum=1.5 (0.8) us, calls=2                               scripts/client/gui/battle_control/arena_visitor.py:588 modifiers()
                            self=6.3 (3.1) us, cum=24.2 (12.1) us, calls=2                             scripts/client/Avatar.py:3317 getOwnVehiclePosition()
                              self=13.5 (6.8) us, cum=17.9 (8.9) us, calls=2                             scripts/client/Avatar.py:3321 getOwnVehicleMatrix()
                                self=2.0 (1.0) us, cum=4.4 (2.2) us, calls=2                               scripts/client/avatar_components/AvatarObserver.py:165 getObservedVehicleMatrix()
                                  self=16.5 (1.1) us, cum=16.5 (1.1) us, calls=15                            scripts/client/Avatar.py:2726 isObserver()
                                  self=2.3 (0.1) us, cum=2.3 (0.1) us, calls=19                              ~:0 <built-in method player>()
                            self=10.2 (1.5) us, cum=17.6 (2.5) us, calls=7                             scripts/client/Avatar.py:3509 getVehicleDescriptor()
                              self=16.5 (1.1) us, cum=16.5 (1.1) us, calls=15                            scripts/client/Avatar.py:2726 isObserver()
                            self=2.6 (1.3) us, cum=7.1 (3.5) us, calls=2                               scripts/client/helpers/dependency.py:290 __get__()
                              self=4.7 (1.2) us, cum=6.2 (1.6) us, calls=4                               scripts/client/helpers/dependency.py:171 getService()
                                self=1.5 (0.4) us, cum=1.5 (0.4) us, calls=4                               scripts/client/helpers/dependency.py:312 value()
                            self=4.3 (0.4) us, cum=4.3 (0.4) us, calls=10                              ~:0 <method 'get' of 'dict' objects>()
                            self=3.4 (0.6) us, cum=3.4 (0.6) us, calls=6                               scripts/client/AvatarInputHandler/aih_global_binding.py:158 __get__()
                            self=3.4 (3.4) us, cum=3.4 (3.4) us, calls=1                               scripts/client/gui/battle_control/controllers/feedback_adaptor.py:491 getVehicleAttrs()
                            self=3.0 (1.5) us, cum=3.0 (1.5) us, calls=2                               ~:0 <hasattr>()
                            self=2.0 (2.0) us, cum=2.7 (2.7) us, calls=1                               scripts/client/gui/battle_control/controllers/repositories.py:163 feedback()
                              self=2.1 (1.0) us, cum=2.1 (1.0) us, calls=2                               scripts/client/gui/battle_control/controllers/repositories.py:418 getController()
                            self=2.4 (0.6) us, cum=2.4 (0.6) us, calls=4                               scripts/common/items/vehicle_items.py:783 kind()
                            self=2.3 (0.1) us, cum=2.3 (0.1) us, calls=19                              ~:0 <built-in method player>()
                            self=1.6 (1.6) us, cum=2.0 (2.0) us, calls=1                               scripts/client/gui/shared/utils/functions.py:450 getShellImpactParams()
                              self=3.5 (0.3) us, cum=3.5 (0.3) us, calls=10                              ~:0 <isinstance>()
                            self=1.3 (1.3) us, cum=1.3 (1.3) us, calls=1                               ~:0 <built-in method setShotParams>()
                            self=1.3 (0.6) us, cum=1.3 (0.6) us, calls=2                               scripts/client/gui/battle_control/battle_session.py:71 shared()
                            self=0.7 (0.7) us, cum=0.7 (0.7) us, calls=1                               scripts/client/gui/armor_flashlight/config.py:406 getConfig()
                            self=0.4 (0.4) us, cum=0.4 (0.4) us, calls=1                               scripts/client/VehicleGunRotator.py:416 getCurShotDispersionAngles()
                          self=4.1 (4.1) us, cum=20.1 (20.1) us, calls=1                             scripts/client/gui/armor_flashlight/battle_controller.py:279 _startFlashlight()
                            self=13.5 (13.5) us, cum=16.0 (16.0) us, calls=1                           scripts/client/gui/armor_flashlight/battle_controller.py:299 _resolveTargetTank()
                              self=1.2 (1.2) us, cum=1.2 (1.2) us, calls=1                               ~:0 <built-in method setTargetTank>()
                              self=0.9 (0.9) us, cum=0.9 (0.9) us, calls=1                               ~:0 <built-in method get>()
                              self=0.4 (0.4) us, cum=0.4 (0.4) us, calls=1                               scripts/client_common/vehicle_appearance/common_tank_appearance.py:171 <lambda>()
