RR aim at enemy optimized

measurement without profiler: 268.6 us
profiler overhead: 70 us

self=1.0 (1.0) us, cum=338.3 (338.3) us, calls=1                           src\mod_wot_profiler.py:84 profilerCall()
        self=18.5 (18.5) us, cum=66.9 (66.9) us, calls=1                           src\responsive_reticle\hooks\vehicle_gun_rotator_hooks.py:399 __updateGunMarker()
          self=1.5 (1.5) us, cum=16.1 (16.1) us, calls=1                             scripts/client/VehicleGunRotator.py:412 getCurShotPosition()
            self=11.1 (11.1) us, cum=14.6 (14.6) us, calls=1                           scripts/client/VehicleGunRotator.py:940 __getShotPosition()
              self=1.6 (1.6) us, cum=1.6 (1.6) us, calls=1                               ~:0 <built-in method applyVector>()
              self=1.1 (0.2) us, cum=1.1 (0.2) us, calls=5                               src\responsive_reticle\hooks\avatar_hooks.py:37 getVehicleDescriptor()
              self=0.7 (0.7) us, cum=0.7 (0.7) us, calls=1                               ~:0 <built-in method applyPoint>()
              self=0.6 (0.3) us, cum=0.6 (0.3) us, calls=2                               ~:0 <built-in method setRotateY>()
              self=0.5 (0.2) us, cum=0.5 (0.2) us, calls=2                               src\responsive_reticle\hooks\vehicle_gun_rotator_hooks.py:373 getAvatarOwnVehicleStabilisedMatrix()
              self=0.5 (0.2) us, cum=0.5 (0.2) us, calls=2                               scripts/common/items/vehicles.py:1035 <lambda>()
              self=0.5 (0.2) us, cum=0.5 (0.2) us, calls=2                               ~:0 <built-in method postMultiply>()
              self=0.3 (0.1) us, cum=0.3 (0.1) us, calls=2                               ~:0 <built-in method setRotateX>()
          self=12.4 (12.4) us, cum=12.4 (12.4) us, calls=1                           ~:0 <built-in method wg_getCappedShotTargetInfos>()
          self=2.3 (2.3) us, cum=11.7 (11.7) us, calls=1                             scripts/client/AvatarInputHandler/gun_marker_ctrl.py:809 setPosition()
            self=3.5 (3.5) us, cum=9.4 (9.4) us, calls=1                               scripts/client/AvatarInputHandler/gun_marker_ctrl.py:951 setPosition()
              self=5.6 (5.6) us, cum=5.6 (5.6) us, calls=1                               scripts/client/AvatarInputHandler/gun_marker_ctrl.py:969 _updateMatrixProvider()
              self=0.3 (0.3) us, cum=0.3 (0.3) us, calls=1                               ~:0 <built-in method setTranslate>()
          self=1.9 (1.9) us, cum=4.8 (4.8) us, calls=1                               scripts/client_common/ClientArena.py:444 getSpaceBB()
            self=1.8 (1.8) us, cum=1.8 (1.8) us, calls=1                               scripts/client_common/ClientArena.py:783 getMinBounds()
            self=1.1 (1.1) us, cum=1.1 (1.1) us, calls=1                               scripts/client_common/ClientArena.py:786 getMaxBounds()
          self=1.5 (1.5) us, cum=1.5 (1.5) us, calls=1                               scripts/common/items/vehicles.py:1045 <lambda>()
          self=1.1 (0.2) us, cum=1.1 (0.2) us, calls=5                               src\responsive_reticle\hooks\avatar_hooks.py:37 getVehicleDescriptor()
          self=0.9 (0.9) us, cum=0.9 (0.9) us, calls=1                               scripts/client/VehicleGunRotator.py:977 getAttachedVehicleID()
          self=0.8 (0.1) us, cum=0.8 (0.1) us, calls=8                               ~:0 <built-in method player>()
          self=0.8 (0.4) us, cum=0.8 (0.4) us, calls=2                               scripts/client/AvatarInputHandler/__init__.py:218 <lambda>()
          self=0.7 (0.3) us, cum=0.7 (0.3) us, calls=2                               src\responsive_reticle\hooks\avatar_hooks.py:19 getVehicleAttached()
          self=0.7 (0.1) us, cum=0.7 (0.1) us, calls=7                               ~:0 <built-in method time>()
      self=2.7 (2.7) us, cum=93.4 (93.4) us, calls=1                             scripts/client/VehicleGunRotator.py:478 __shotPointSourceFunctor_Default()
        self=0.9 (0.9) us, cum=90.7 (90.7) us, calls=1                             scripts/client/AvatarInputHandler/__init__.py:610 getDesiredShotPoint()
          self=2.2 (2.2) us, cum=89.8 (89.8) us, calls=1                             scripts/client/AvatarInputHandler/control_modes.py:297 getDesiredShotPoint()
            self=5.0 (5.0) us, cum=87.4 (87.4) us, calls=1                             ~:0 <built-in method getDesiredShotPoint>()
              self=2.8 (2.8) us, cum=82.4 (82.4) us, calls=1                             scripts/client/AvatarInputHandler/AimingSystems/__init__.py:304 getDesiredShotPoint()
                self=6.7 (6.7) us, cum=79.3 (79.3) us, calls=1                             scripts/client/AvatarInputHandler/AimingSystems/__init__.py:257 _getDesiredShotPointUncached()
                  self=5.2 (5.2) us, cum=71.5 (71.5) us, calls=1                             scripts/client/ProjectileMover.py:447 collideDynamicAndStatic()
                    self=7.2 (7.2) us, cum=38.7 (38.7) us, calls=1                             scripts/client/ProjectileMover.py:418 __init__()
                      self=2.6 (2.6) us, cum=28.9 (28.9) us, calls=1                             scripts/client/Vehicle.py:1422 getMatinfo()
                        self=21.9 (21.9) us, cum=23.3 (23.3) us, calls=1                           scripts/client_common/shared_utils/vehicle_utils.py:137 getMatinfo()
                          self=0.6 (0.6) us, cum=0.6 (0.6) us, calls=1                               ~:0 <method 'get' of 'dict' objects>()
                          self=0.6 (0.6) us, cum=0.6 (0.6) us, calls=1                               scripts/client_common/vehicle_appearance/common_tank_appearance.py:249 <lambda>()
                          self=0.2 (0.2) us, cum=0.2 (0.2) us, calls=1                               ~:0 <len>()
                        self=3.0 (3.0) us, cum=3.0 (3.0) us, calls=1                               scripts/client/Vehicle.py:177 isWheeledTech()
                      self=3.0 (1.5) us, cum=3.0 (1.5) us, calls=2                               ~:0 <built-in method entity>()
                    self=27.5 (27.5) us, cum=27.5 (27.5) us, calls=1                           ~:0 <built-in method wg_collideDynamicStatic>()
                    self=0.8 (0.1) us, cum=0.8 (0.1) us, calls=8                               ~:0 <built-in method player>()
                  self=1.0 (1.0) us, cum=1.0 (1.0) us, calls=1                               ~:0 <built-in method scale>()
                  self=0.8 (0.1) us, cum=0.8 (0.1) us, calls=8                               ~:0 <built-in method player>()
                self=0.3 (0.3) us, cum=0.3 (0.3) us, calls=1                               ~:0 <built-in method wg_getFrameTimestamp>()
            self=0.2 (0.2) us, cum=0.2 (0.2) us, calls=1                               scripts/client/AvatarInputHandler/DynamicCameras/SniperCamera.py:58 <lambda>()
      self=4.2 (4.2) us, cum=29.1 (29.1) us, calls=1                             scripts/client/VehicleGunRotator.py:610 __updateShotPointOnServer()
        self=22.9 (22.9) us, cum=23.6 (23.6) us, calls=1                           scripts/client/VehicleGunRotator.py:572 __trackPointOnServer()
          self=3.0 (1.5) us, cum=3.0 (1.5) us, calls=2                               ~:0 <built-in method entity>()
          self=0.5 (0.2) us, cum=0.5 (0.2) us, calls=2                               src\responsive_reticle\hooks\avatar_hooks.py:55 getOwnVehicleStabilisedMatrix()
        self=1.3 (1.3) us, cum=1.3 (1.3) us, calls=1                               scripts/common/items/vehicles.py:1095 __getIsHullAimingAvailable()
      self=4.6 (4.6) us, cum=4.8 (4.8) us, calls=1                               scripts/client/VehicleGunRotator.py:547 __getTimeDiff()
        self=0.7 (0.1) us, cum=0.7 (0.1) us, calls=7                               ~:0 <built-in method time>()
      self=2.4 (0.6) us, cum=3.0 (0.8) us, calls=4                               scripts/client/BattleReplay.py:241 <lambda>()
        self=0.6 (0.1) us, cum=0.6 (0.1) us, calls=4                               ~:0 <built-in method isPlaying>()
      self=1.0 (1.0) us, cum=1.8 (1.8) us, calls=1                               scripts/client/AvatarInputHandler/__init__.py:660 getAimingMode()
        self=0.8 (0.8) us, cum=0.8 (0.8) us, calls=1                               scripts/client/AvatarInputHandler/control_modes.py:303 getAimingMode()
      self=1.6 (1.6) us, cum=1.6 (1.6) us, calls=1                               scripts/client/BattleReplay.py:819 setGunRotatorTargetPoint()
      self=0.8 (0.1) us, cum=0.8 (0.1) us, calls=8                               ~:0 <built-in method player>()
      self=0.7 (0.1) us, cum=0.7 (0.1) us, calls=7                               ~:0 <built-in method time>()
      self=0.6 (0.6) us, cum=0.6 (0.6) us, calls=1                               ~:0 <built-in method callback>()
      self=0.5 (0.5) us, cum=0.5 (0.5) us, calls=1                               scripts/client/BattleReplay.py:243 <lambda>()
    self=9.5 (9.5) us, cum=40.9 (40.9) us, calls=1                             src\responsive_reticle\helpers\one_tick_cache.py:45 updateCache()
      self=8.4 (8.4) us, cum=8.4 (8.4) us, calls=1                               scripts/client/avatar_components/AvatarObserver.py:214 getVehicleAttached()
      self=6.5 (6.5) us, cum=8.3 (8.3) us, calls=1                               src\responsive_reticle\helpers\should_boost_tick_rate.py:19 shouldBoostTickRate()
        self=1.1 (0.2) us, cum=1.1 (0.2) us, calls=5                               src\responsive_reticle\hooks\avatar_hooks.py:37 getVehicleDescriptor()
        self=0.8 (0.1) us, cum=0.8 (0.1) us, calls=8                               ~:0 <built-in method player>()
        self=0.8 (0.8) us, cum=0.8 (0.8) us, calls=1                               ~:0 <hasattr>()
        self=0.8 (0.4) us, cum=0.8 (0.4) us, calls=2                               scripts/client/AvatarInputHandler/__init__.py:218 <lambda>()
      self=5.5 (5.5) us, cum=7.5 (7.5) us, calls=1                               scripts/client/VehicleGunRotator.py:1134 getAvatarOwnVehicleStabilisedMatrix()
        self=2.6 (0.9) us, cum=2.6 (0.9) us, calls=3                               scripts/client/VehicleGunRotator.py:1247 __getTurretStaticYaw()
        self=0.7 (0.3) us, cum=0.7 (0.3) us, calls=2                               src\responsive_reticle\hooks\avatar_hooks.py:19 getVehicleAttached()
        self=0.5 (0.2) us, cum=0.5 (0.2) us, calls=2                               src\responsive_reticle\hooks\avatar_hooks.py:55 getOwnVehicleStabilisedMatrix()
      self=1.8 (1.8) us, cum=3.9 (3.9) us, calls=1                               scripts/client/Avatar.py:3342 getOwnVehicleStabilisedMatrix()
        self=1.1 (1.1) us, cum=2.1 (2.1) us, calls=1                               scripts/client/avatar_components/AvatarObserver.py:180 getObservedVehicleStabilisedMatrix()
          self=2.2 (1.1) us, cum=2.2 (1.1) us, calls=2                               scripts/client/Avatar.py:2726 isObserver()
          self=0.8 (0.1) us, cum=0.8 (0.1) us, calls=8                               ~:0 <built-in method player>()
      self=1.8 (1.8) us, cum=3.1 (3.1) us, calls=1                               scripts/client/Avatar.py:3509 getVehicleDescriptor()
        self=2.2 (1.1) us, cum=2.2 (1.1) us, calls=2                               scripts/client/Avatar.py:2726 isObserver()
      self=0.8 (0.1) us, cum=0.8 (0.1) us, calls=8                               ~:0 <built-in method player>()
