RR aim at terrain optimized

measurement without profiler: 235.2 us
profiler overhead: 50 us

self=1.3 (1.3) us, cum=283.8 (283.8) us, calls=1                           src\mod_wot_profiler.py:84 profilerCall()
          self=1.2 (1.2) us, cum=1.3 (1.3) us, calls=1                               src\responsive_reticle\hooks\vehicle_gun_rotator_hooks.py:260 getOwnVehicleShotDispersionAngleForGunRotator()
            self=0.9 (0.1) us, cum=0.9 (0.1) us, calls=7                               ~:0 <built-in method time>()
          self=1.0 (0.2) us, cum=1.0 (0.2) us, calls=5                               src\responsive_reticle\hooks\avatar_hooks.py:37 getVehicleDescriptor()
          self=0.5 (0.2) us, cum=0.5 (0.2) us, calls=2                               src\responsive_reticle\hooks\vehicle_gun_rotator_hooks.py:373 getAvatarOwnVehicleStabilisedMatrix()
          self=0.3 (0.1) us, cum=0.3 (0.1) us, calls=3                               ~:0 <abs>()
        self=18.3 (18.3) us, cum=64.0 (64.0) us, calls=1                           src\responsive_reticle\hooks\vehicle_gun_rotator_hooks.py:399 __updateGunMarker()
          self=1.5 (1.5) us, cum=16.5 (16.5) us, calls=1                             scripts/client/VehicleGunRotator.py:412 getCurShotPosition()
            self=11.9 (11.9) us, cum=15.0 (15.0) us, calls=1                           scripts/client/VehicleGunRotator.py:940 __getShotPosition()
              self=1.5 (1.5) us, cum=1.5 (1.5) us, calls=1                               ~:0 <built-in method applyPoint>()
              self=1.0 (0.2) us, cum=1.0 (0.2) us, calls=5                               src\responsive_reticle\hooks\avatar_hooks.py:37 getVehicleDescriptor()
              self=0.5 (0.2) us, cum=0.5 (0.2) us, calls=2                               src\responsive_reticle\hooks\vehicle_gun_rotator_hooks.py:373 getAvatarOwnVehicleStabilisedMatrix()
              self=0.5 (0.2) us, cum=0.5 (0.2) us, calls=2                               ~:0 <built-in method postMultiply>()
              self=0.5 (0.2) us, cum=0.5 (0.2) us, calls=2                               ~:0 <built-in method setRotateY>()
              self=0.4 (0.2) us, cum=0.4 (0.2) us, calls=2                               scripts/common/items/vehicles.py:1035 <lambda>()
              self=0.3 (0.1) us, cum=0.3 (0.1) us, calls=2                               ~:0 <built-in method setRotateX>()
              self=0.3 (0.3) us, cum=0.3 (0.3) us, calls=1                               ~:0 <built-in method applyVector>()
          self=2.5 (2.5) us, cum=12.5 (12.5) us, calls=1                             scripts/client/AvatarInputHandler/gun_marker_ctrl.py:809 setPosition()
            self=3.8 (3.8) us, cum=10.0 (10.0) us, calls=1                             scripts/client/AvatarInputHandler/gun_marker_ctrl.py:951 setPosition()
              self=5.9 (5.9) us, cum=5.9 (5.9) us, calls=1                               scripts/client/AvatarInputHandler/gun_marker_ctrl.py:969 _updateMatrixProvider()
              self=0.3 (0.3) us, cum=0.3 (0.3) us, calls=1                               ~:0 <built-in method setTranslate>()
          self=8.4 (8.4) us, cum=8.4 (8.4) us, calls=1                               ~:0 <built-in method wg_getCappedShotTargetInfos>()
          self=2.2 (2.2) us, cum=5.1 (5.1) us, calls=1                               scripts/client_common/ClientArena.py:444 getSpaceBB()
            self=1.6 (1.6) us, cum=1.6 (1.6) us, calls=1                               scripts/client_common/ClientArena.py:786 getMaxBounds()
            self=1.3 (1.3) us, cum=1.3 (1.3) us, calls=1                               scripts/client_common/ClientArena.py:783 getMinBounds()
          self=1.5 (1.5) us, cum=1.5 (1.5) us, calls=1                               scripts/common/items/vehicles.py:1045 <lambda>()
          self=1.0 (0.2) us, cum=1.0 (0.2) us, calls=5                               src\responsive_reticle\hooks\avatar_hooks.py:37 getVehicleDescriptor()
          self=0.9 (0.1) us, cum=0.9 (0.1) us, calls=8                               ~:0 <built-in method player>()
          self=0.9 (0.1) us, cum=0.9 (0.1) us, calls=7                               ~:0 <built-in method time>()
          self=0.8 (0.4) us, cum=0.8 (0.4) us, calls=2                               scripts/client/AvatarInputHandler/__init__.py:218 <lambda>()
          self=0.8 (0.8) us, cum=0.8 (0.8) us, calls=1                               scripts/client/VehicleGunRotator.py:977 getAttachedVehicleID()
          self=0.7 (0.3) us, cum=0.7 (0.3) us, calls=2                               src\responsive_reticle\hooks\avatar_hooks.py:19 getVehicleAttached()
      self=1.7 (1.7) us, cum=44.4 (44.4) us, calls=1                             scripts/client/VehicleGunRotator.py:478 __shotPointSourceFunctor_Default()
        self=1.5 (1.5) us, cum=42.7 (42.7) us, calls=1                             scripts/client/AvatarInputHandler/__init__.py:610 getDesiredShotPoint()
          self=2.3 (2.3) us, cum=41.2 (41.2) us, calls=1                             scripts/client/AvatarInputHandler/control_modes.py:297 getDesiredShotPoint()
            self=5.2 (5.2) us, cum=38.7 (38.7) us, calls=1                             ~:0 <built-in method getDesiredShotPoint>()
              self=2.9 (2.9) us, cum=33.5 (33.5) us, calls=1                             scripts/client/AvatarInputHandler/AimingSystems/__init__.py:304 getDesiredShotPoint()
                self=5.5 (5.5) us, cum=30.3 (30.3) us, calls=1                             scripts/client/AvatarInputHandler/AimingSystems/__init__.py:257 _getDesiredShotPointUncached()
                  self=4.3 (4.3) us, cum=23.8 (23.8) us, calls=1                             scripts/client/ProjectileMover.py:447 collideDynamicAndStatic()
                    self=19.5 (19.5) us, cum=19.5 (19.5) us, calls=1                           ~:0 <built-in method wg_collideDynamicStatic>()
                    self=0.9 (0.1) us, cum=0.9 (0.1) us, calls=8                               ~:0 <built-in method player>()
                  self=0.9 (0.1) us, cum=0.9 (0.1) us, calls=8                               ~:0 <built-in method player>()
                  self=0.9 (0.9) us, cum=0.9 (0.9) us, calls=1                               ~:0 <built-in method scale>()
                self=0.3 (0.3) us, cum=0.3 (0.3) us, calls=1                               ~:0 <built-in method wg_getFrameTimestamp>()
            self=0.2 (0.2) us, cum=0.2 (0.2) us, calls=1                               scripts/client/AvatarInputHandler/DynamicCameras/SniperCamera.py:58 <lambda>()
