vanilla aim at terrain

measurement without profiler: 450 us
profiler overhead: 150 us

            self=2.9 (1.0) us, cum=6.7 (2.2) us, calls=3                               scripts/client/avatar_components/AvatarObserver.py:180 getObservedVehicleStabilisedMatrix()
              self=8.8 (1.1) us, cum=8.8 (1.1) us, calls=8                               scripts/client/Avatar.py:2726 isObserver()
              self=1.5 (0.1) us, cum=1.5 (0.1) us, calls=13                              ~:0 <built-in method player>()
          self=3.9 (1.0) us, cum=3.9 (1.0) us, calls=4                               scripts/client/VehicleGunRotator.py:1247 __getTurretStaticYaw()
        self=7.2 (7.2) us, cum=19.3 (19.3) us, calls=1                             scripts/client/VehicleGunRotator.py:1107 __updateGunMatrix()
          self=10.4 (5.2) us, cum=10.4 (5.2) us, calls=2                             scripts/client/VehicleGunRotator.py:1269 update()
          self=5.4 (1.4) us, cum=9.7 (2.4) us, calls=4                               scripts/client/Avatar.py:3509 getVehicleDescriptor()
            self=8.8 (1.1) us, cum=8.8 (1.1) us, calls=8                               scripts/client/Avatar.py:2726 isObserver()
          self=3.7 (3.7) us, cum=3.7 (3.7) us, calls=1                               scripts/client/BattleReplay.py:894 setGunPitch()
          self=2.1 (0.7) us, cum=2.1 (0.7) us, calls=3                               scripts/client/VehicleGunRotator.py:1208 __getGunStaticPitch()
          self=1.5 (0.3) us, cum=1.5 (0.3) us, calls=5                               scripts/client/BattleReplay.py:243 <lambda>()
          self=0.6 (0.6) us, cum=0.8 (0.8) us, calls=1                               scripts/common/gun_rotation_shared.py:29 calcGunPitchCorrection()
            self=0.9 (0.3) us, cum=0.9 (0.3) us, calls=3                               ~:0 <math.fabs>()
          self=0.5 (0.2) us, cum=0.5 (0.2) us, calls=2                               ~:0 <built-in method setRotateX>()
        self=3.6 (3.6) us, cum=12.4 (12.4) us, calls=1                             scripts/client/VehicleGunRotator.py:786 __syncWithServerTurretYaw()
          self=3.7 (3.7) us, cum=8.6 (8.6) us, calls=1                               scripts/client/Vehicle.py:1433 getServerGunAngles()
            self=2.1 (2.1) us, cum=4.9 (4.9) us, calls=1                               scripts/common/gun_rotation_shared.py:77 decodeGunAngles()
              self=1.8 (1.8) us, cum=1.8 (1.8) us, calls=1                               scripts/common/gun_rotation_shared.py:57 decodeRestrictedValueFromUint()
              self=1.0 (1.0) us, cum=1.0 (1.0) us, calls=1                               scripts/common/gun_rotation_shared.py:42 decodeAngleFromUint()
          self=1.3 (0.4) us, cum=1.3 (0.4) us, calls=3                               ~:0 <min>()
        self=5.1 (5.1) us, cum=11.8 (11.8) us, calls=1                             scripts/client/VehicleGunRotator.py:743 getNextTurretYaw()
          self=4.4 (0.5) us, cum=5.5 (0.6) us, calls=9                               scripts/client/BattleReplay.py:241 <lambda>()
            self=1.1 (0.1) us, cum=1.1 (0.1) us, calls=9                               ~:0 <built-in method isPlaying>()
          self=2.1 (2.1) us, cum=3.7 (3.7) us, calls=1                               scripts/client/VehicleGunRotator.py:873 __getTurretYawWithSpeedLimit()
            self=1.3 (0.4) us, cum=1.3 (0.4) us, calls=3                               ~:0 <min>()
            self=0.7 (0.7) us, cum=0.7 (0.7) us, calls=1                               ~:0 <math.fmod>()
          self=1.3 (1.3) us, cum=1.4 (1.4) us, calls=1                               scripts/client/VehicleGunRotator.py:809 __getRotationWays()
            self=0.3 (0.1) us, cum=0.3 (0.1) us, calls=3                               ~:0 <abs>()
          self=0.9 (0.3) us, cum=0.9 (0.3) us, calls=3                               ~:0 <math.fabs>()
          self=0.4 (0.4) us, cum=0.4 (0.4) us, calls=1                               scripts/client/VehicleGunRotator.py:828 __isOutOfLimits()
          self=0.2 (0.2) us, cum=0.2 (0.2) us, calls=1                               scripts/client/VehicleGunRotator.py:850 __applyTurretYawLimits()
        self=5.4 (1.4) us, cum=9.7 (2.4) us, calls=4                               scripts/client/Avatar.py:3509 getVehicleDescriptor()
          self=8.8 (1.1) us, cum=8.8 (1.1) us, calls=8                               scripts/client/Avatar.py:2726 isObserver()
        self=3.8 (3.8) us, cum=5.9 (5.9) us, calls=1                               scripts/common/projectile_trajectory.py:80 getShotAngles()
          self=1.8 (1.8) us, cum=1.8 (1.8) us, calls=1                               ~:0 <built-in method getAimingAngles>()
          self=0.5 (0.2) us, cum=0.5 (0.2) us, calls=2                               scripts/common/items/vehicles.py:1035 <lambda>()
        self=4.1 (4.1) us, cum=5.6 (5.6) us, calls=1                               scripts/client/VehicleGunRotator.py:885 getNextGunPitch()
          self=4.4 (0.5) us, cum=5.5 (0.6) us, calls=9                               scripts/client/BattleReplay.py:241 <lambda>()
            self=1.1 (0.1) us, cum=1.1 (0.1) us, calls=9                               ~:0 <built-in method isPlaying>()
          self=2.1 (0.7) us, cum=2.1 (0.7) us, calls=3                               scripts/client/VehicleGunRotator.py:1208 __getGunStaticPitch()
          self=1.3 (0.4) us, cum=1.3 (0.4) us, calls=3                               ~:0 <min>()
          self=0.9 (0.3) us, cum=0.9 (0.3) us, calls=3                               ~:0 <math.fabs>()
        self=4.4 (0.5) us, cum=5.5 (0.6) us, calls=9                               scripts/client/BattleReplay.py:241 <lambda>()
          self=1.1 (0.1) us, cum=1.1 (0.1) us, calls=9                               ~:0 <built-in method isPlaying>()
        self=1.2 (1.2) us, cum=4.8 (4.8) us, calls=1                               scripts/common/gun_rotation_shared.py:17 calcPitchLimitsFromDesc()
          self=3.6 (3.6) us, cum=3.6 (3.6) us, calls=1                               ~:0 <built-in method wg_calcGunPitchLimits>()
        self=2.9 (2.9) us, cum=4.5 (4.5) us, calls=1                               scripts/client/VehicleGunRotator.py:1212 __getTurretYawLimits()
          self=3.9 (1.0) us, cum=3.9 (1.0) us, calls=4                               scripts/client/VehicleGunRotator.py:1247 __getTurretStaticYaw()
        self=1.5 (1.5) us, cum=2.4 (2.4) us, calls=1                               scripts/client/VehicleGunRotator.py:1174 __getGunPitchLimits()
          self=2.1 (0.7) us, cum=2.1 (0.7) us, calls=3                               scripts/client/VehicleGunRotator.py:1208 __getGunStaticPitch()
        self=0.3 (0.1) us, cum=0.3 (0.1) us, calls=3                               ~:0 <abs>()
      self=14.6 (14.6) us, cum=221.7 (221.7) us, calls=1                         scripts/client/VehicleGunRotator.py:710 __updateGunMarker()
        self=1.6 (1.6) us, cum=93.9 (93.9) us, calls=1                             scripts/client/AvatarInputHandler/__init__.py:640 updateClientGunMarker()
          self=2.1 (2.1) us, cum=92.3 (92.3) us, calls=1                             scripts/client/AvatarInputHandler/control_modes.py:284 updateGunMarker()
            self=7.9 (7.9) us, cum=90.2 (90.2) us, calls=1                             scripts/client/AvatarInputHandler/gun_marker_ctrl.py:829 update()
              self=17.1 (17.1) us, cum=39.0 (39.0) us, calls=1                           scripts/client/AvatarInputHandler/gun_marker_ctrl.py:1013 update()
                self=7.6 (7.6) us, cum=7.6 (7.6) us, calls=1                               scripts/client/AvatarInputHandler/gun_marker_ctrl.py:969 _updateMatrixProvider()
                self=3.3 (3.3) us, cum=6.1 (6.1) us, calls=1                               scripts/client/AvatarInputHandler/gun_marker_ctrl.py:1341 _makeWorldMatrix()
                  self=1.6 (1.6) us, cum=1.6 (1.6) us, calls=1                               ~:0 <built-in method makeWorldMatrix>()
                  self=1.2 (1.2) us, cum=1.2 (1.2) us, calls=1                               ~:0 <built-in method screenResolution>()
                self=4.4 (0.5) us, cum=5.5 (0.6) us, calls=9                               scripts/client/BattleReplay.py:241 <lambda>()
                  self=1.1 (0.1) us, cum=1.1 (0.1) us, calls=9                               ~:0 <built-in method isPlaying>()
                self=1.5 (0.3) us, cum=1.5 (0.3) us, calls=5                               scripts/client/BattleReplay.py:243 <lambda>()
                self=1.5 (1.5) us, cum=1.5 (1.5) us, calls=1                               ~:0 <built-in method checkAndRecalculateIfPositionInExtremeProjection>()
                self=1.1 (1.1) us, cum=1.4 (1.4) us, calls=1                               scripts/client/BattleReplay.py:859 setArcadeGunMarkerSize()
                  self=0.3 (0.3) us, cum=0.3 (0.3) us, calls=1                               ~:0 <built-in method setArcadeGunMarkerSize>()
                self=1.2 (0.6) us, cum=1.2 (0.6) us, calls=2                               scripts/client/BattleReplay.py:248 <lambda>()
                self=1.0 (1.0) us, cum=1.0 (1.0) us, calls=1                               scripts/client/AvatarInputHandler/gun_marker_ctrl.py:929 update()
                self=0.9 (0.9) us, cum=0.9 (0.9) us, calls=1                               scripts/client/AvatarInputHandler/gun_marker_ctrl.py:1065 _replayWriter()
                self=0.9 (0.4) us, cum=0.9 (0.4) us, calls=2                               ~:0 <built-in method markerHelperScale>()
                self=0.9 (0.9) us, cum=0.9 (0.9) us, calls=1                               ~:0 <built-in method updateSizes>()
                self=0.4 (0.4) us, cum=0.4 (0.4) us, calls=1                               scripts/client/AvatarInputHandler/gun_marker_ctrl.py:1059 _getMarkerSize()
                self=0.3 (0.3) us, cum=0.3 (0.3) us, calls=1                               ~:0 <built-in method setTranslate>()
              self=1.1 (1.1) us, cum=37.3 (37.3) us, calls=1                             scripts/client/AvatarInputHandler/aih_global_binding.py:152 __set__()
                self=3.9 (3.9) us, cum=36.2 (36.2) us, calls=1                             scripts/client/AvatarInputHandler/aih_global_binding.py:93 change()
                  self=1.2 (1.2) us, cum=30.9 (30.9) us, calls=1                             scripts/client/gui/battle_control/controllers/crosshair_proxy.py:409 __onClientGunMarkerStateChanged()
                    self=2.8 (2.8) us, cum=29.7 (29.7) us, calls=1                             scripts/client/gui/battle_control/controllers/crosshair_proxy.py:383 __setGunMarkerState()
                      self=3.2 (3.2) us, cum=26.9 (26.9) us, calls=1                             scripts/common/Event.py:40 __call__()
                        self=7.5 (7.5) us, cum=15.3 (15.3) us, calls=1                             scripts/client/gui/armor_flashlight/battle_controller.py:180 _updateVisibilityState()
                          self=2.1 (2.1) us, cum=4.3 (4.3) us, calls=1                               scripts/client/gui/armor_flashlight/battle_controller.py:42 _inputIsBad()
                            self=1.5 (1.5) us, cum=2.1 (2.1) us, calls=1                               scripts/client/AvatarInputHandler/__init__.py:286 ctrlModeName()
                              self=2.4 (0.8) us, cum=2.4 (0.8) us, calls=3                               scripts/client/AvatarInputHandler/aih_global_binding.py:158 __get__()
                            self=2.0 (0.4) us, cum=2.0 (0.4) us, calls=5                               ~:0 <isinstance>()
                          self=2.4 (0.8) us, cum=2.4 (0.8) us, calls=3                               scripts/client/AvatarInputHandler/aih_global_binding.py:158 __get__()
                          self=1.2 (1.2) us, cum=2.4 (2.4) us, calls=1                               scripts/client/helpers/__init__.py:37 isPlayerAvatar()
                            self=1.5 (0.1) us, cum=1.5 (0.1) us, calls=13                              ~:0 <built-in method player>()
